x,y,z
522518,8418276,314.43
522528,8418276,315.02
522538,8418276,316.695
522548,8418276,318.745
522558,8418276,320.602
522568,8418276,322.19
522578,8418276,323.53
522588,8418276,323.719
522598,8418276,322.887
522608,8418276,321.063
522618,8418276,318.555
522628,8418276,315.456
522638,8418276,311.984
522648,8418276,308.439
522658,8418276,304.711
522668,8418275,300.993
522678,8418275,297.309
522688,8418275,293.859
522698,8418275,290.367
522708,8418275,286.563
522718,8418275,282.394
522728,8418275,277.854
522738,8418275,272.859
522748,8418275,267.405
522757,8418275,261.5
522767,8418275,254.976
522777,8418275,247.453
522787,8418275,239.809
522797,8418275,232.657
522807,8418275,226.969
522817,8418275,222.143
522827,8418275,217.766
522837,8418275,213.753
522847,8418275,210.21
522857,8418275,206.695
522867,8418275,203.025
522877,8418275,199.469
522887,8418275,194.928
522897,8418275,188.621
522907,8418275,181.547
522917,8418275,174.619
522927,8418275,168.734
522937,8418275,164.096
522947,8418275,160.477
522957,8418275,159.469
522967,8418275,160.403
522977,8418275,162.297
522987,8418275,165.493
522997,8418275,169.992
523007,8418275,175.148
523017,8418275,181.087
523027,8418275,187.586
523037,8418275,194.951
523047,8418275,203.43
523057,8418275,211.346
523067,8418275,217.167
523077,8418275,217.094
523087,8418275,213.952
523097,8418275,210.477
523107,8418275,206.463
523117,8418275,202.07
523127,8418275,197.938
523137,8418275,194.036
523147,8418275,190.344
523157,8418275,186.874
523167,8418275,183.314
523177,8418275,179.727
523187,8418275,176.806
